ensembl_id,gene_symbol,alias,alias_norm,source
ENSG00000274847,MAFIP,FLJ00219,flj00219,ensembl:human
ENSG00000274847,MAFIP,FLJ35473,flj35473,ensembl:human
ENSG00000274847,MAFIP,FLJ39633,flj39633,ensembl:human
ENSG00000274847,MAFIP,MIP,mip,ensembl:human
ENSG00000274847,MAFIP,PP5644,pp5644,ensembl:human
ENSG00000274847,MAFIP,TEKT4P4,tekt4p4,ensembl:human
ENSG00000280775,RNA5SP136,RN5S136,rn5s136,ensembl:human
ENSG00000281766,RYBP,AAP1,aap1,ensembl:human
ENSG00000281766,RYBP,DEDAF,dedaf,ensembl:human
ENSG00000281766,RYBP,YEAF1,yeaf1,ensembl:human
ENSG00000288269,GCGR,GGR,ggr,ensembl:human
ENSG00000288213,MCRIP1,FAM195B,fam195b,ensembl:human
ENSG00000288213,MCRIP1,GRAN2,gran2,ensembl:human
ENSG00000288213,MCRIP1,MCRIP,mcrip,ensembl:human
ENSG00000291362,C8ORF33,FLJ20989,flj20989,ensembl:human
ENSG00000292254,SHANK3,KIAA1650,kiaa1650,ensembl:human
ENSG00000292254,SHANK3,PROSAP2,prosap2,ensembl:human
ENSG00000292254,SHANK3,PSAP2,psap2,ensembl:human
ENSG00000292254,SHANK3,SPANK-2,spank2,ensembl:human
ENSG00000282175,HNRNPCL1,HNRPCL1,hnrpcl1,ensembl:human
ENSG00000282817,PRAMEF2,FLJ43580,flj43580,ensembl:human
ENSG00000282584,PRAMEF4,RP5-845O24.6,rp5845o246,ensembl:human
ENSG00000288186,PPP1R27,DYSFIP1,dysfip1,ensembl:human
ENSG00000288186,PPP1R27,TOONIN,toonin,ensembl:human
ENSG00000282791,PRAMEF28P,PRAMEF28,pramef28,ensembl:human
ENSG00000282530,HNRNPCL2,HNRNPCP5,hnrnpcp5,ensembl:human
ENSG00000291363,MUC5AC,MUC5,muc5,ensembl:human
ENSG00000293532,MUC2,MLP,mlp,ensembl:human
ENSG00000293532,MUC2,MUC-2,muc2,ensembl:human
ENSG00000282424,PRAMEF5,PRAMEF23,pramef23,ensembl:human
ENSG00000282424,PRAMEF5,PRAMEF5L,pramef5l,ensembl:human
ENSG00000282288,RNU6-771P,RNU6-1185P,rnu61185p,ensembl:human
ENSG00000282125,PRAMEF33,PRAMEF33P,pramef33p,ensembl:human
ENSG00000293551,PRAMEF22,PRAMEF3L,pramef3l,ensembl:human
